item_id,title,category,description
1,Introduction to Machine Learning,Books,A beginner friendly guide to machine learning concepts algorithms and python implementation
2,Deep Learning with Python,Books,Hands on deep learning techniques using neural networks tensorflow and keras frameworks
3,Wireless Bluetooth Headphones,Electronics,Noise cancelling over ear wireless headphones with long battery life and crisp sound
4,Smart Fitness Watch,Electronics,Fitness tracker watch with heart rate monitor sleep tracking and step counter
5,The Art of Data Visualization,Books,Practical guide to creating effective charts dashboards and visual data stories
6,Mechanical Gaming Keyboard,Electronics,RGB backlit mechanical keyboard designed for competitive gaming and fast typing
7,Yoga Mat Premium,Fitness,Non slip eco friendly yoga mat ideal for yoga pilates and home workouts
8,Python Programming Crash Course,Books,Fast paced introduction to python programming syntax data structures and projects
9,Wireless Gaming Mouse,Electronics,Ergonomic wireless gaming mouse with adjustable dpi and rgb lighting
10,Resistance Bands Set,Fitness,Set of resistance bands for strength training stretching and physical therapy
11,Natural Language Processing in Action,Books,Comprehensive guide to nlp techniques text processing and language models
12,Noise Cancelling Earbuds,Electronics,Compact wireless earbuds with active noise cancellation and touch controls
13,Adjustable Dumbbell Set,Fitness,Space saving adjustable dumbbells for home strength training workouts
14,Computer Vision with OpenCV,Books,Practical computer vision tutorials using opencv for image and video processing
15,4K Webcam,Electronics,High definition webcam with autofocus ideal for streaming and video calls
16,Running Shoes Lightweight,Fitness,Breathable lightweight running shoes designed for comfort and long distance running
17,Recommendation Systems Handbook,Books,In depth guide to building recommendation engines using collaborative and content based filtering
18,Portable Bluetooth Speaker,Electronics,Compact waterproof bluetooth speaker with rich bass and long playtime
19,Foam Roller for Recovery,Fitness,High density foam roller for muscle recovery and myofascial release
20,Data Structures and Algorithms in Python,Books,Clear explanations of data structures and algorithms with python code examples
